,threshold,automation_rate,f1_no,f1_yes,precision_yes,recall_yes
0,0.0,1.0,0.9860392156862745,0.661596958174905,0.6796875,0.6444444444444445
1,0.01,0.9987948177161796,0.9863486584026362,0.6614785992217899,0.6854838709677419,0.6390977443609023
2,0.02,0.9981922265742693,0.9866582954010359,0.6666666666666666,0.6910569105691057,0.6439393939393939
3,0.03,0.9978909310033143,0.9868131868131867,0.6692913385826771,0.6910569105691057,0.648854961832061
4,0.04,0.9975896354323591,0.9868090452261307,0.6692913385826771,0.6910569105691057,0.648854961832061
5,0.05,0.9975896354323591,0.9868090452261307,0.6692913385826771,0.6910569105691057,0.648854961832061
6,0.06,0.9975896354323591,0.9868090452261307,0.6692913385826771,0.6910569105691057,0.648854961832061
7,0.07,0.9972883398614041,0.9868049010367577,0.6692913385826771,0.6910569105691057,0.648854961832061
8,0.08,0.9972883398614041,0.9868049010367577,0.6692913385826771,0.6910569105691057,0.648854961832061
9,0.09,0.9966857487194938,0.9867966048412448,0.6692913385826771,0.6910569105691057,0.648854961832061
10,0.1,0.9966857487194938,0.9867966048412448,0.6692913385826771,0.6910569105691057,0.648854961832061
11,0.11,0.9966857487194938,0.9867966048412448,0.6692913385826771,0.6910569105691057,0.648854961832061
12,0.12,0.9960831575775836,0.9867924528301887,0.6666666666666666,0.6885245901639344,0.6461538461538462
13,0.13,0.9954805664356734,0.9869435268208274,0.6693227091633466,0.6885245901639344,0.6511627906976745
14,0.14,0.9951792708647182,0.987098804279421,0.672,0.6885245901639344,0.65625
15,0.15,0.994275384151853,0.9872501180544625,0.6720647773279352,0.6916666666666667,0.6535433070866141
16,0.16,0.9936727930099427,0.9874015748031496,0.6747967479674796,0.6974789915966386,0.6535433070866141
17,0.17,0.9930702018680325,0.9875570956056072,0.6748971193415637,0.7008547008547008,0.6507936507936508
18,0.18,0.9927689062970775,0.9877126654064272,0.6776859504132232,0.7068965517241379,0.6507936507936508
19,0.19,0.9921663151551672,0.987708792940435,0.675,0.7043478260869566,0.648
20,0.2,0.9918650195842121,0.9877049180327868,0.675,0.7043478260869566,0.648
21,0.21,0.991262428442302,0.9880163986124252,0.680672268907563,0.7105263157894737,0.6532258064516129
22,0.22,0.991262428442302,0.9880163986124252,0.680672268907563,0.7105263157894737,0.6532258064516129
23,0.23,0.9909611328713468,0.9881722125847657,0.6835443037974683,0.7168141592920354,0.6532258064516129
24,0.24,0.9909611328713468,0.9881722125847657,0.6835443037974683,0.7168141592920354,0.6532258064516129
25,0.25,0.9906598373003916,0.9881684808329388,0.6835443037974683,0.7168141592920354,0.6532258064516129
26,0.26,0.9900572461584815,0.9884803534795644,0.6893617021276596,0.7232142857142857,0.6585365853658537
27,0.27,0.9900572461584815,0.9884803534795644,0.6893617021276596,0.7232142857142857,0.6585365853658537
28,0.28,0.9897559505875264,0.9884803534795644,0.686695278969957,0.7207207207207207,0.6557377049180327
29,0.29,0.9894546550165713,0.9884767166535122,0.686695278969957,0.7207207207207207,0.6557377049180327
30,0.3,0.9885507683037059,0.9886291850915981,0.6869565217391305,0.7181818181818181,0.6583333333333333
31,0.31,0.9879481771617957,0.9887853419680934,0.6872246696035242,0.7222222222222222,0.6554621848739496
32,0.32,0.9873455860198855,0.9890978037604677,0.6933333333333334,0.7222222222222222,0.6666666666666666
33,0.33,0.9870442904489304,0.9890978037604677,0.6905829596412556,0.719626168224299,0.6637931034482759
34,0.34,0.9864416993070202,0.9892507113499841,0.6936936936936938,0.719626168224299,0.6695652173913044
35,0.35000000000000003,0.9852365170231998,0.9897168169593419,0.7031963470319634,0.7333333333333333,0.6754385964912281
36,0.36,0.9843326303103345,0.9898670044331856,0.7064220183486237,0.7403846153846154,0.6754385964912281
37,0.37,0.9828261524555589,0.9898541534559289,0.7037037037037037,0.7378640776699029,0.672566371681416
38,0.38,0.9825248568846038,0.9898509356168729,0.7037037037037037,0.7378640776699029,0.672566371681416
39,0.39,0.9819222657426936,0.9901649746192893,0.7102803738317757,0.7450980392156863,0.6785714285714286
40,0.4,0.9816209701717384,0.9901618533798794,0.7102803738317757,0.7450980392156863,0.6785714285714286
41,0.41000000000000003,0.9816209701717384,0.9901618533798794,0.7102803738317757,0.7450980392156863,0.6785714285714286
42,0.42,0.9795119011750527,0.9904671115347949,0.7115384615384616,0.7474747474747475,0.6788990825688074
43,0.43,0.9786080144621874,0.9907790143084261,0.7184466019417475,0.7551020408163265,0.6851851851851852
44,0.44,0.9777041277493221,0.9909336726578655,0.7192118226600984,0.7525773195876289,0.6886792452830188
45,0.45,0.9768002410364568,0.9912462199586185,0.7263681592039801,0.7684210526315789,0.6886792452830188
46,0.46,0.9764989454655016,0.9912434325744307,0.7263681592039801,0.7684210526315789,0.6886792452830188
47,0.47000000000000003,0.9758963543235915,0.9914012738853503,0.7272727272727273,0.7659574468085106,0.6923076923076923
48,0.48,0.9752937631816813,0.9915564760235781,0.7309644670050762,0.7659574468085106,0.6990291262135923
49,0.49,0.9743898764688159,0.9918725099601594,0.7357512953367875,0.7717391304347826,0.7029702970297029
50,0.5,0.9740885808978608,0.9918725099601594,0.7329842931937172,0.7692307692307693,0.7
51,0.51,0.9737872853269057,0.9918725099601594,0.7301587301587302,0.7666666666666667,0.696969696969697
52,0.52,0.9725821030430852,0.9920255183413078,0.7311827956989247,0.7727272727272727,0.6938775510204082
53,0.53,0.9704730340463995,0.9923347173427021,0.7333333333333334,0.7764705882352941,0.6947368421052632
54,0.54,0.9698704429044893,0.9923347173427021,0.7272727272727274,0.7710843373493976,0.6881720430107527
55,0.55,0.9686652606206689,0.9924884129774652,0.7283236994219653,0.7777777777777778,0.6847826086956522
56,0.56,0.9656523049111179,0.9931122857600513,0.7425149700598802,0.7948717948717948,0.6966292134831461
57,0.5700000000000001,0.9650497137692076,0.9931122857600513,0.736196319018405,0.7894736842105263,0.6896551724137931
58,0.58,0.9644471226272974,0.9931100785130589,0.732919254658385,0.7866666666666666,0.686046511627907
59,0.59,0.9638445314853872,0.993267072779737,0.7375,0.7972972972972973,0.686046511627907
60,0.6,0.9620367580596565,0.9934221081341248,0.7320261437908497,0.8,0.6746987951807228
61,0.61,0.9614341669177463,0.9934199967902423,0.728476821192053,0.7971014492753623,0.6707317073170732
62,0.62,0.9602289846339259,0.9935732647814911,0.7333333333333334,0.7971014492753623,0.6790123456790124
63,0.63,0.9590238023501054,0.9935649935649936,0.7333333333333334,0.7971014492753623,0.6790123456790124
64,0.64,0.957818620066285,0.9935587761674718,0.7297297297297296,0.7941176470588235,0.675
65,0.65,0.9557095510695993,0.9935504675910997,0.7183098591549296,0.7846153846153846,0.6623376623376623
66,0.66,0.9542030732148238,0.9935463052597613,0.7058823529411764,0.7741935483870968,0.6486486486486487
67,0.67,0.9532991865019584,0.9937025674148233,0.711111111111111,0.7868852459016393,0.6486486486486487
68,0.68,0.9523952997890931,0.9936984973339796,0.7067669172932332,0.7833333333333333,0.6438356164383562
69,0.6900000000000001,0.9514914130762278,0.9936944219886822,0.7022900763358778,0.7796610169491526,0.6388888888888888
70,0.7000000000000001,0.9496836396504972,0.9938471502590674,0.7031250000000001,0.7894736842105263,0.6338028169014085
71,0.71,0.9484784573666767,0.9938411669367909,0.6984126984126985,0.7857142857142857,0.6285714285714286
72,0.72,0.9484784573666767,0.9938411669367909,0.6984126984126985,0.7857142857142857,0.6285714285714286
73,0.73,0.9475745706538113,0.9941615309763218,0.7096774193548386,0.7857142857142857,0.6470588235294118
74,0.74,0.9460680927990358,0.9941539460863917,0.7049180327868853,0.7818181818181819,0.6417910447761194
75,0.75,0.9433564326604399,0.9943006025077349,0.7107438016528926,0.7818181818181819,0.6515151515151515
76,0.76,0.9427538415185297,0.9942968877301612,0.7107438016528926,0.7818181818181819,0.6515151515151515
77,0.77,0.9397408858089786,0.9944444444444445,0.711864406779661,0.7777777777777778,0.65625
78,0.78,0.937933112383248,0.9945981339008021,0.717948717948718,0.7777777777777778,0.6666666666666666
79,0.79,0.9367279300994276,0.9947558177646673,0.7241379310344828,0.7777777777777778,0.6774193548387096
80,0.8,0.9349201566736969,0.9947489333770921,0.7142857142857142,0.7692307692307693,0.6666666666666666
81,0.81,0.9316059053931907,0.9952294785326534,0.7238095238095238,0.76,0.6909090909090909
82,0.8200000000000001,0.9288942452545947,0.9952168893287151,0.7184466019417475,0.7551020408163265,0.6851851851851852
83,0.8300000000000001,0.9270864718288641,0.9952074037349199,0.7184466019417475,0.7551020408163265,0.6851851851851852
84,0.84,0.923772220548358,0.9953565505804312,0.7254901960784315,0.7551020408163265,0.6981132075471698
85,0.85,0.9180476047002109,0.9953302201467644,0.7142857142857144,0.7446808510638298,0.6862745098039216
86,0.86,0.9150346489906598,0.9953145917001339,0.7142857142857144,0.7446808510638298,0.6862745098039216
87,0.87,0.909611328713468,0.9952861952861952,0.7142857142857144,0.7446808510638298,0.6862745098039216
88,0.88,0.9050918951491413,0.9954322449670107,0.7216494845360825,0.7446808510638298,0.7
89,0.89,0.8987646881590841,0.9957432317384641,0.7311827956989247,0.7391304347826086,0.723404255319149
90,0.9,0.8948478457366676,0.9958960328317373,0.7391304347826085,0.7391304347826086,0.7391304347826086
91,0.91,0.890328412172341,0.9958762886597938,0.7333333333333333,0.7333333333333333,0.7333333333333333
92,0.92,0.8821934317565532,0.9961871750433275,0.7441860465116278,0.7441860465116279,0.7441860465116279
93,0.93,0.8755649291955409,0.9965083798882682,0.761904761904762,0.7441860465116279,0.7804878048780488
94,0.9400000000000001,0.8662247664959325,0.9964714184897672,0.7560975609756099,0.7380952380952381,0.775
95,0.9500000000000001,0.8541729436577282,0.9966004651994991,0.7654320987654322,0.7380952380952381,0.7948717948717948
96,0.96,0.8406146429647484,0.9970919665576155,0.7948717948717948,0.7948717948717948,0.7948717948717948
97,0.97,0.8195239529978909,0.9973919523099851,0.8055555555555555,0.7837837837837838,0.8285714285714286
